"id","parent_id","usuario_id","tipo_sigo_id","tipo_marca_id","clase_id","pais_id","numero_solicitud","nombre","numero_registro","fecha_registro","numero_renovacion","numero_publicacion","numero_gaceta","fecha_publicacion","fecha_importacion","activo","valido","importado","activa","created_at","updated_at","anterior","propia"
15045,0,1,1,1,5,,"3969-2002","AMISPED","95864-C",30/08/2004,,"105121","2482",12/05/2003,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
15046,0,1,1,1,5,,"3996-2002","XETHAVEC","99642-C",22/06/2005,,"103935","2465",12/03/2003,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
15047,0,1,1,1,5,,"4001-2002","MALTOFER - 666",,,,"103940","2465",12/03/2003,07/08/2010,0,1,0,0,07/08/2010,07/08/2010,0,1
15048,0,1,1,1,5,,"3999-2002","MEBEROL","92623-C",06/02/2004,,"103938","2465",12/03/2003,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
15049,0,1,1,1,32,,"3995-2002","PILSEN",,,,"103934","2465",12/03/2003,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
15050,0,1,1,1,3,,"4000-2002","BODYMANIC","92614-C",06/02/2004,,"103939","2465",12/03/2003,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
15051,0,1,1,1,32,,"0969-1993","KANU","80713-C",10/08/2000,,"60521","1843",08/09/1994,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
15052,0,1,1,1,30,,"0970-1993","KANU","80712-C",10/08/2000,,"60522","1843",08/09/1994,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
15053,0,1,1,1,32,,"0967-1993","NEGRITA","90704-C",11/07/2003,,"60519","1843",08/09/1994,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
15054,0,1,1,1,30,,"0968-1993","NEGRITA",,,,"60520","1843",08/09/1994,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
15055,0,1,3,1,29,,"3118-2001","NEGRITA",,,,"99828","2410",17/07/2002,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
15056,0,1,1,1,9,,"4008-2002","POWERMEISTER","92735-C",09/02/2004,,"103944","2465",12/03/2003,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
15058,0,1,2,1,30,,"0133-1991","WONDER",,,,"53747","1699",03/08/1991,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
15057,0,1,1,1,9,,"4007-2002","GULFSTAR","92734-C",09/02/2004,,"103943","2465",12/03/2003,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
15059,0,1,1,1,5,,"0002-2003","VEPRAMA","92872-C",12/02/2004,,"104422","2482",12/05/2003,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
15060,0,1,3,1,5,,"0001-2003","STREPSILS S","92852-C",12/02/2004,,"104782","2482",12/05/2003,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
15061,0,1,3,2,42,,"0005-2003","EquiPetrol","92737-C",09/02/2004,,"104783","2482",12/05/2003,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
